player_name,career_total_runs,playing_role,batting_style,bowling_style,player_id,field_pos,player_image,full_name,country,date_of_birth,total_runs_test,matches_test,batting_average_test,strike_rate_test,centuries_test,half_centuries_test,wickets_test,economy_test,bowling_average_test,total_runs_odi,matches_odi,batting_average_odi,strike_rate_odi,centuries_odi,half_centuries_odi,wickets_odi,economy_odi,bowling_average_odi,total_runs_t20i,matches_t20i,batting_average_t20i,strike_rate_t20i,centuries_t20i,half_centuries_t20i,wickets_t20i,economy_t20i,bowling_average_t20i,career_total_runs2,career_total_wickets,catches,stumpings,formats_played,played_since_year
Bradley John Hodge,,,Right hand Bat,Right arm Offbreak,12318, ,,Player_181,Sri Lanka,20-08-1980,7832,270,24.12,133.98,12,23,604,8.13,24.54,14936,356,22.76,120.43,15,52,742,6.24,21.54,3408,225,26.46,55.9,27,28,22,7.51,39.51,26176,1368,125,4,"Test,T20I,ODI",2016
Shivnarine Chanderpaul,,,Left hand Bat,Legbreak,11996, ,,Player_182,Ireland,01-05-2008,8623,323,29.54,125.18,24,3,524,9.73,38.06,665,374,43.78,105.86,16,89,7,4.57,47.51,13807,245,17.02,103.75,10,30,573,2.59,19.19,23095,1104,83,2,"ODI,T20I",2006
Abishek Porel,,,Left hand Bat, ,8433,Wicketkeeper,https://www.espncricinfo.com/cricketers/abishek-porel-1277545,Player_183,West Indies,18-08-2005,8896,276,49.92,72.87,47,18,771,9.76,29.48,7846,75,37.13,140.36,21,91,443,2.6,42.04,8962,55,28.56,64.26,10,64,266,3.63,45.37,25704,1480,289,31,"ODI,Test,T20I",2005
Taruwar Sushil Kohli,,,Right hand Bat,Right arm Medium,11963, ,,Player_184,Ireland,03-05-2008,8173,140,28.6,145.63,17,25,620,8.92,49.86,6611,157,21.65,61.1,12,76,327,9.17,36.87,248,54,45.25,68.73,20,97,117,2.74,47,15032,1064,70,16,"T20I,ODI,Test",2004
Kaki Nitish Kumar Reddy,,,Right hand Bat,Right arm Medium fast,9824, ,,Player_185,India,11-06-1997,14286,274,32.58,64.82,11,74,329,6.81,33.37,10400,19,38.68,67.71,11,75,289,8.42,42.61,13385,275,29.25,139.15,20,17,599,2.51,45.21,38071,1217,174,41,"Test,ODI,T20I",2016
Kumar Chokshanada Sangakkara,,,Left hand Bat,Right arm Offbreak,11954,Wicketkeeper,,Player_186,New Zealand,08-07-1991,2632,289,29.87,117.95,39,39,188,7.61,33.55,14605,130,51.08,92.87,9,43,762,3.12,31.72,8564,305,22.3,50.74,6,81,600,4.14,44.39,25801,1550,315,4,Test,2007
Sahibzada Mohammad Shahid Khan Afridi,,,Right hand Bat,Legbreak Googly,12056, ,,Player_187,West Indies,08-07-2006,4494,333,14.67,72.49,16,49,94,4.28,36.11,1079,328,11.43,62.67,0,27,510,8.21,42.27,5950,339,38.87,131.68,16,5,54,6.58,41.84,11523,658,329,10,Test,2000
Umar Gul,,,Right hand Bat,Right arm Fast medium,12323, ,,Player_188,South Africa,05-05-2019,8056,380,32.05,93.14,14,42,616,7.05,47.34,8419,121,41.54,106.63,31,1,360,7.01,29.9,2926,152,30.89,101.7,47,51,152,9.72,38.27,19401,1128,462,37,"Test,T20I",2015
Suyash Sharma,,,Right hand Bat,Legbreak Googly,8475, ,https://www.espncricinfo.com/cricketers/suyash-sharma-1350792,Player_189,Pakistan,07-05-2015,7511,372,19.78,121.92,41,74,7,5.65,43.63,8340,40,27.48,89.84,29,56,598,5.27,25.81,7975,52,18.29,105.93,13,39,238,9,39.72,23826,843,336,3,Test,2016
Palani Amarnath,,,Right hand Bat,Right arm Medium,11949, ,,Player_190,Australia,30-09-2001,9155,51,19.34,106.33,14,66,66,5.86,32.44,1069,166,24.63,78.46,7,56,715,4.03,41.33,3857,397,17.7,117.18,32,64,264,9.01,43.8,14081,1045,394,38,"T20I,ODI,Test",2002
Nehal Wadhera,,,Left hand Bat,Legbreak,8386, ,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273,Player_191,New Zealand,26-05-2013,10426,26,14.7,92.75,14,11,495,8.06,41,5263,129,29.63,67,20,33,218,8.88,31.43,4930,110,45.37,93.14,10,41,267,3.41,39.2,20619,980,353,18,"T20I,ODI,Test",2012
Ramnaresh Ronnie Sarwan,,,Right hand Bat,Legbreak,12121, ,,Player_192,New Zealand,13-11-1998,10233,156,27.83,82.63,38,66,190,4.26,36.76,7951,22,27.1,83.53,21,86,405,7.6,49.4,7014,203,58.73,61.56,12,93,112,4.12,28.49,25198,707,90,38,ODI,2007
Musavir Asmat Khote,,,Right hand Bat,Right arm Medium,11993, ,,Player_193,Ireland,13-06-1998,1828,238,47.87,133.97,12,26,365,4.54,33.76,12919,278,51.61,110.8,17,57,752,6.38,29.18,8893,111,21.65,60.28,0,67,165,2.61,30.03,23640,1282,468,45,"Test,ODI,T20I",2015
Jacques Henry Kallis,,,Right hand Bat,Right arm Fast medium,11933, ,,Player_194,India,08-10-1986,10300,155,23.82,64.38,16,53,767,9.4,24.15,1363,250,23.74,107.58,1,51,769,6.88,47.5,10377,324,48.66,125.44,33,31,667,8.23,46.71,22040,2203,350,48,"Test,T20I",2023
Brett Geeves,,,Right hand Bat,Right arm Fast medium,11983, ,,Player_195,Bangladesh,17-09-2009,12260,290,25.62,93.01,31,65,520,2.45,32.85,4508,399,46.66,66.36,47,28,620,2.73,47.85,14792,257,14.38,72.1,8,9,7,2.56,18.55,31560,1147,433,22,"ODI,T20I",2006
Mohit Rathee,,,Right hand Bat,Legbreak,8605, ,https://www.espncricinfo.com/cricketers/mohit-rathee-1349361,Player_196,Zimbabwe,11-11-2017,9130,135,42.13,140.38,8,48,116,5.89,25.87,1755,8,14.7,62.49,43,34,767,5.79,25.74,6966,15,29.08,52.81,12,68,713,6.45,40.36,17851,1596,248,16,T20I,2020
Raghav Goyal,,,Left hand Bat,Left arm Wrist spin,9431, ,,Player_197,Ireland,02-07-1987,4805,143,19.79,134.58,39,15,266,9.3,47.27,519,12,57.57,52.67,8,74,793,3.55,43.54,9133,349,35.33,147.96,36,8,216,3.98,48.55,14457,1275,131,12,ODI,2014
Mohd Arshad Khan,,,Left hand Bat,Left arm Medium,10707, ,,Player_198,New Zealand,15-10-1994,806,105,54.85,90.09,19,1,610,6.88,28.73,5463,306,41.12,51.24,2,47,219,3.67,31.86,12106,165,23.44,148.04,29,68,430,3.95,40.6,18375,1259,168,26,"T20I,Test",2023
Dhruv Chand Jurel,,,Right hand Bat, ,8470, ,,Player_199,England,27-10-1984,9655,157,36.01,126.31,25,59,484,6.37,48.47,14722,319,45.34,137.98,25,32,594,7.29,47.36,6587,300,36.48,87.81,40,60,291,9.93,49.81,30964,1369,442,0,"Test,T20I",2001
Karan Goel,,,Left hand Bat,Right arm Offbreak,11952, ,,Player_200,Pakistan,19-01-2012,7486,145,32.38,132.32,26,53,508,4,35.06,11736,51,24.9,54.51,20,74,106,9.29,32.4,6496,381,54.13,52.55,44,10,49,8.05,40,25718,663,59,1,T20I,2023
Sisanda Somila Bruce Magala,,,Right hand Bat,Right arm Fast medium,8569, ,,Player_201,Zimbabwe,02-11-2007,13613,1,37.89,138.89,20,29,297,4.75,38.21,10514,208,30.6,123.12,29,72,580,5.23,41.82,5091,279,57.22,122.73,36,98,106,8.7,19.1,29218,983,368,17,ODI,2001
Subramaniam Badrinath,,,Right hand Bat,Right arm Offbreak,11947, ,,Player_202,Ireland,23-11-2008,11607,76,18.3,104.45,17,83,163,8.82,35.37,14688,37,21.19,137.2,27,77,608,3.66,32.94,8985,370,15.03,133.1,46,90,8,6.58,44.46,35280,779,336,35,Test,2009
Vijaykumar Yo Mahesh,,,Right hand Bat,Right arm Medium fast,12071, ,,Player_203,Pakistan,26-05-1982,8202,131,40.67,70.45,12,37,375,6.47,22.14,7233,99,56.63,59.81,35,8,723,7.19,25.29,14746,157,23.59,62.5,6,67,744,8.97,27.11,30181,1842,240,44,"Test,T20I,ODI",2004
Pankaj Dharmani,,,Right hand Bat, ,11958,Wicketkeeper,,Player_204,England,02-02-2019,13373,89,28.16,75.53,15,27,652,6.12,30.03,1102,192,34.41,93.63,25,47,285,8.97,24.38,677,248,58.96,63.55,13,73,699,7.16,32.27,15152,1636,189,32,ODI,2003
Mohammad Hafeez,,,Right hand Bat,Right arm Offbreak,11923, ,,Player_205,Afghanistan,09-06-1990,1868,344,54.86,79.57,8,24,267,2.8,21.17,597,190,41.52,146.23,33,66,748,7.99,31.61,5909,378,23.52,132.22,47,96,455,9.57,27.99,8374,1470,495,35,Test,2014
Jacob David Philip Oram,,,Left hand Bat,Right arm Fast medium,11946, ,,Player_206,England,14-11-2011,14561,349,18.44,109.38,11,95,548,2.13,37.93,13947,50,46.71,133.41,7,92,7,8.95,42.18,1561,180,44.64,142.19,5,7,322,4.25,26.59,30069,877,339,1,"T20I,ODI,Test",2012
Doddapaneni Kalyankrishna,,,Right hand Bat,Right arm Medium fast,12105, ,,Player_207,England,08-01-2006,7878,262,35.35,53.28,43,9,73,9.71,32.3,3273,392,28.56,98.97,9,82,188,6.29,37.36,4053,190,22.67,129.08,33,48,308,6.76,31.8,15204,569,280,3,"ODI,Test",2016
Sanath Teran Jayasuriya,,,Left hand Bat,Slow Left arm Orthodox,11986, ,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/319800/319886.png",Player_208,Pakistan,31-12-1983,14899,350,39.91,113.6,37,59,507,5.02,42.9,12241,140,46.01,126.26,47,35,80,8.02,40.04,8644,138,27.82,70.07,15,23,621,7.52,30.12,35784,1208,231,15,T20I,2020
Pinal Rohitbhai Shah,,,Right hand Bat, ,11989,Wicketkeeper,,Player_209,Sri Lanka,05-11-2009,13059,107,11.67,86.44,18,41,72,6.83,25.06,5781,167,43.8,133.34,42,95,107,3.12,27.03,10658,77,19.56,91.15,36,32,144,5.14,38.27,29498,323,470,3,"T20I,ODI,Test",2022
Matthew William Short,,,Right hand Bat,Right arm Offbreak,8597, ,,Player_210,Pakistan,16-10-2008,5690,73,28.18,79.52,6,39,307,2.64,23.27,10797,310,45.28,84.8,49,70,320,4.79,33.41,14785,372,52.82,110.08,35,18,739,9.04,44.02,31272,1366,462,8,ODI,2000
Mithun Manhas,,,Right hand Bat,Right arm Offbreak,11980,Wicketkeeper,,Player_211,Bangladesh,29-09-1984,13895,38,46.63,137.95,34,96,198,7.46,31,6256,108,34.46,139.22,13,91,578,5.12,19.42,3656,335,54.13,66.03,45,1,411,9.84,27.51,23807,1187,288,48,T20I,2017
Brett Lee,,,Right hand Bat,Right arm Fast,11959, ,,Player_212,India,24-05-1984,7827,396,51.02,96,47,76,129,9.46,47.65,7258,206,29.15,97.05,39,43,685,6.09,44.16,5234,49,24.85,71.06,5,54,113,5.95,24.84,20319,927,274,20,"T20I,ODI,Test",2014
Ricky Thomas Ponting,,,Right hand Bat,Right arm Medium,11921, ,,Player_213,West Indies,24-05-1995,5429,158,25.66,59.51,17,41,757,6.61,40.73,10380,299,21.1,102.78,14,81,345,9.43,49.68,4146,84,51.18,78.29,7,10,574,5.13,39.34,19955,1676,312,22,"T20I,Test",2013
David John Hussey,,,Right hand Bat,Right arm Offbreak,11922, ,,Player_214,Sri Lanka,12-07-1998,9076,70,49.93,132.67,15,46,571,3.01,31.41,14212,109,51.23,149.97,16,59,327,8.99,31.02,5488,182,27.91,100.95,23,98,398,5.78,39.45,28776,1296,14,1,"ODI,Test,T20I",2008
Niraj Kanubhai Patel,,,Left hand Bat,,12572,,,Player_215,Australia,12-06-2009,3564,311,58.39,54.76,38,36,790,6.65,34.55,13017,195,40.42,134.33,17,62,554,3.08,18.35,8081,182,14.95,101.08,2,16,274,8.82,46.84,24662,1618,40,2,T20I,2011
Stephen Paul Fleming,,,Left hand Bat, ,12338, ,,Player_216,West Indies,18-10-2011,1389,240,52.84,122.67,3,79,614,8.13,20.69,8780,151,32.22,86.18,31,4,698,3.38,23.43,11946,3,47.9,131.43,3,41,123,7.16,18.51,22115,1435,452,22,"T20I,Test",2004
Travis Rodney Birt,,,Left hand Bat,Right arm Medium,16455,Occasional Wicketkeeper,,Player_217,India,16-02-1999,11593,297,15.88,127.39,24,21,486,5.25,49.51,6554,242,57.2,51.03,37,86,301,4.86,38.88,13826,316,39.82,125.3,31,60,85,2.36,45.3,31973,872,207,25,"Test,ODI,T20I",2022
Abrar Anjum Kazi,,,Left hand Bat,Slow Left arm Orthodox,16953, ,,Player_218,Ireland,18-08-1989,7274,35,46.99,85.26,31,56,150,9.04,39.33,12664,127,12.39,112.62,22,85,199,4.33,37.59,209,110,23.72,141.37,0,2,581,6.34,34.67,20147,930,59,46,"ODI,T20I,Test",2001
Juan Theron,,,Right hand Bat,Right arm Medium fast,14798, ,,Player_219,Zimbabwe,28-12-2008,12513,83,25.98,132.48,39,83,668,7.19,27.13,9599,104,52.51,120.39,45,89,418,6.92,43.21,4983,333,22.65,133.29,33,85,46,2.14,37.88,27095,1132,364,6,"ODI,T20I",2022
Shrikant Shrihari Mundhe,,,Right hand Bat,Right arm Medium,34126, ,,Player_220,Bangladesh,08-02-2018,824,373,59.42,101.57,12,26,205,9.19,36.75,14157,9,59.88,115.08,22,75,38,9.22,26.12,7141,338,58.78,75.39,44,34,710,8.23,20.92,22122,953,239,35,ODI,2022
Sunny Singh,,,Right hand Bat,Right arm Medium fast,15862, ,,Player_221,Bangladesh,24-03-1990,2265,262,34.27,96.33,44,40,178,6.99,21.5,8002,355,54.35,146.79,34,39,731,9.7,42.44,10118,250,53.13,83.13,8,84,200,4.63,31.84,20385,1109,95,43,"ODI,Test,T20I",2006
Rajesh Bishnoi,,,Right hand Bat,Right arm Medium fast,13301, ,,Player_222,Australia,15-04-2010,936,309,16.12,54.54,16,79,196,3.05,48.91,4846,147,50.52,136.3,38,18,306,7.23,40.02,4945,132,50.49,100.04,11,88,275,5.78,25.27,10727,777,277,32,"T20I,ODI,Test",2020
Abhishek Santosh Raut,,,Right hand Bat,Legbreak Googly,13388, ,,Player_223,Sri Lanka,09-08-2005,10992,384,46.26,79,48,33,734,4.48,23.59,12914,364,28.72,94.88,14,46,3,8.71,28.33,7980,99,16.4,51.43,9,65,548,8.39,26.14,31886,1285,426,48,"ODI,T20I,Test",2008
Rahul Sharma,,,Right hand Bat,Legbreak Googly,14765, ,,Player_224,Afghanistan,20-09-2015,10745,171,26.15,143.1,36,31,88,3.61,38.74,11582,363,21.57,56.29,23,64,632,6.2,35.46,3966,171,47.76,140.39,9,0,714,2.37,34.13,26293,1434,159,35,T20I,2017
Reetinder Singh Sodhi,,,Right hand Bat,Right arm Medium,15334, ,,Player_225,England,03-02-2003,6402,375,59.85,89.18,5,89,798,9.27,25.85,11632,139,46.74,97.61,27,66,76,3.67,22.71,10069,286,20.73,54.43,49,6,129,3.27,44,28103,1003,396,3,"Test,ODI,T20I",2003
Michael John Lumb,,,Left hand Bat,Right arm Medium,14648, ,,Player_226,Sri Lanka,03-02-1987,14199,172,58.99,104.67,18,88,433,8.08,40.96,9821,189,25.23,118.92,15,90,467,6.2,32.48,8818,118,58.87,82.24,43,19,447,5.18,41.8,32838,1347,421,22,"T20I,ODI",2001
Luke James Wright,,,Right hand Bat,Right arm Medium,34959, ,,Player_227,Zimbabwe,29-11-1982,3845,361,42.81,103.2,12,65,787,7.41,42.86,9186,93,18.8,110.77,15,17,178,6.44,46.2,10918,349,12.6,106.92,47,42,388,3.84,36.91,23949,1353,281,24,"T20I,Test",2023
Rajagopal Sathish,,,Right hand Bat,Right arm Medium,14476, ,,Player_228,Afghanistan,03-11-1991,1796,46,16.49,109.04,25,11,747,4.41,39.55,13871,228,49.33,103.81,39,49,644,7.94,31.48,9650,174,27.61,101.78,22,5,575,4.7,35.26,25317,1966,499,40,"Test,T20I,ODI",2000
Misbah-ul-Haq Khan Niazi,,,Right hand Bat,Legbreak,12372, ,,Player_229,Bangladesh,14-07-2009,8245,378,44.34,56.13,13,39,182,3.47,37.66,4798,62,25.63,96.88,38,29,740,3.76,44.87,2824,29,31.43,115.45,5,54,262,9.99,31.67,15867,1184,208,25,"Test,ODI,T20I",2024
Owais Alam Shah,,,Right hand Bat,Right arm Offbreak,14464, ,,Player_230,Pakistan,11-12-2004,7214,140,14.65,86.22,30,72,208,8.05,46.56,6605,339,55.72,79.38,5,65,275,4.95,36.89,1250,54,51.21,102.75,23,99,631,8.6,49.13,15069,1114,132,27,"Test,ODI",2011
Aavishkar Madhav Salvi,,,Right hand Bat,Right arm Medium,13248, ,,Player_231,Zimbabwe,17-08-1994,726,374,11.47,122.31,3,75,492,5.79,20.52,10251,24,52.03,77.73,1,4,151,4.91,24.14,4758,360,48.31,72.9,23,20,277,9.07,35.93,15735,920,380,27,"T20I,ODI",2012
Andre Nel,,,Right hand Bat,Right arm Fast medium,13016, ,,Player_232,India,06-01-1980,2736,117,51.15,70.06,38,89,129,3.81,28.59,13467,267,52.38,100.02,12,92,163,9.68,36.6,4363,195,28.75,70.11,20,50,713,9.5,26.13,20566,1005,432,20,"Test,ODI,T20I",2013
Nathan Leslie McCullum,,,Right hand Bat,Right arm Offbreak,16380, ,,Player_233,Australia,03-07-2000,13832,276,20.49,70.36,7,72,664,6.93,25.95,12764,280,48.58,66.06,43,96,289,5.55,34.19,2163,40,38.28,140.72,41,45,45,4.73,25.36,28759,998,96,9,"Test,ODI",2004
Nitin Saini,,,Right hand Bat, ,34811,Wicketkeeper,,Player_234,India,16-09-2003,11362,213,28.95,51.01,24,9,12,2.32,49.62,2986,10,54.04,84.07,46,41,377,8.04,30.76,9815,172,51.78,76.4,30,34,167,4.38,37.56,24163,556,218,26,ODI,2002
Abu Nechim Ahmed,,,Right hand Bat,Right arm Medium fast,15261, ,,Player_235,Zimbabwe,13-06-2018,13331,219,58.67,93.75,12,95,633,4.61,30.46,400,319,50.29,82.4,8,83,620,8.01,21.83,1853,329,10.91,78.1,46,99,444,3.87,34.73,15584,1697,388,14,ODI,2003
Ishan Malhotra,,,Right hand Bat,Right arm Medium fast,16743, ,,Player_236,South Africa,05-11-2013,1913,392,26.84,138.27,31,97,731,5.75,41.44,2855,200,40.13,108.71,33,93,637,4.12,31.33,753,218,50.11,91.3,40,7,621,8.64,18.25,5521,1989,484,16,Test,2016
Mohnish Dinesh Mishra,,,Right hand Bat,Right arm Offbreak,14757, ,,Player_237,South Africa,09-06-2002,14064,25,24.82,55.19,37,47,105,3.18,39.91,10416,125,24.79,56.67,16,4,751,6.57,20.33,5448,207,57.34,63.94,29,67,45,7.44,44.56,29928,901,70,38,ODI,2018
Robin John Peterson,,,Left hand Bat,Slow Left arm Orthodox,34983, ,,Player_238,Ireland,02-05-1996,9788,8,55.91,69.11,37,19,374,9.88,24.79,3412,305,54.41,132.97,26,49,309,9.15,21.16,1868,157,11.6,100.73,33,15,723,3.89,40.53,15068,1406,431,34,"T20I,Test",2010
Cheteshwar Arvind Pujara,,,Right hand Bat,Legbreak,14463, ,,Player_239,Sri Lanka,12-03-2004,10106,270,15.54,81.01,27,38,581,3.67,25.65,56,189,52.03,106.24,28,84,388,5.8,31.31,13351,332,12.28,116.5,17,66,539,5.02,39.18,23513,1508,273,4,ODI,2007
Amit Uniyal,,,Left hand Bat,Left arm Medium,14489, ,,Player_240,Bangladesh,27-04-1980,7657,9,47.98,123.17,29,59,706,3.04,27,8022,88,33.64,117.08,36,57,657,9.56,27.77,181,227,27.23,128.6,11,70,86,6.05,20.2,15860,1449,350,15,"T20I,ODI,Test",2011
Graham Richard Napier,,,Right hand Bat,Right arm Medium,13651, ,,Player_241,Bangladesh,12-06-2010,2466,377,59.4,114.06,2,65,697,3.63,31.16,1875,354,11.95,120.31,42,78,763,3.72,47.62,1513,84,14.39,121.15,34,63,384,6.23,29.59,5854,1844,133,22,"Test,ODI,T20I",2017
Johan Botha,,,Right hand Bat,Right arm Offbreak,14136, ,,Player_242,England,07-02-2018,10929,120,55.06,91.59,27,64,98,8.15,25.5,4543,115,41.93,79.15,21,83,182,2.59,30.02,9094,172,33.96,64.76,6,1,668,9.11,47.93,24566,948,65,38,Test,2017
Kamran Khan,,,Left hand Bat,Left arm Medium fast,13227, ,,Player_243,England,26-12-1986,9041,124,42.58,125.91,2,50,593,5.4,18.63,4298,351,12.53,97.04,23,7,305,9.13,42.25,3344,244,46.44,95.61,40,0,264,5.04,45.6,16683,1162,126,47,"ODI,T20I,Test",2008
Uday Kaul,,,Left hand Bat, ,12454,Wicketkeeper,,Player_244,England,06-03-2019,10301,169,25.7,110.96,44,35,586,6.52,46.14,3768,176,56.31,145.62,6,30,71,8.78,34.97,5238,359,38.34,53.86,39,57,776,9.27,27.14,19307,1433,204,8,T20I,2004
Sudeep Tyagi,,,Right hand Bat,Right arm Medium,13620, ,,Player_245,Pakistan,26-03-2016,7312,71,22.72,139.6,33,23,191,2.17,48.9,5752,13,58.08,126.67,33,11,218,9.94,40.53,11645,172,19.82,51.78,24,0,21,5.53,23.03,24709,430,297,32,ODI,2020
Bradley James Haddin,,,Right hand Bat, ,16276,Wicketkeeper,,Player_246,West Indies,26-10-2020,14551,151,50.96,131.8,15,26,324,2.28,28.93,4833,256,19.47,146.96,47,20,718,7.44,26.32,7089,334,42.74,94.01,5,6,767,7.97,32.37,26473,1809,116,34,ODI,2016
Chamara Kantha Kapugedera,,,Right hand Bat,Right arm Medium,12518,Occasional Wicketkeeper,,Player_247,New Zealand,23-03-1995,8194,207,53.99,75.28,21,1,725,5.57,28.83,12489,208,43.82,124.63,11,93,172,9.49,48.14,11799,211,44.24,75.3,0,87,702,9.44,29.39,32482,1599,435,39,"ODI,Test,T20I",2012
Srikkanth Anirudha,,,Right hand Bat, ,12471, ,,Player_248,West Indies,29-09-1991,12447,48,36.27,77.14,31,30,466,8.53,18.23,1353,280,14.61,67.56,22,61,652,8.62,34.96,6401,83,56.62,118.34,45,68,449,9.26,39.83,20201,1567,266,49,"ODI,Test,T20I",2005
Robert John Quiney,,,Left hand Bat,Right arm Medium,13384, ,,Player_249,India,26-04-1982,7906,153,22.22,62.54,37,56,366,9.08,39.77,10602,327,46.48,56.45,14,90,271,8.76,44.6,13794,172,17.34,122.42,15,84,231,2.46,48.93,32302,868,281,23,Test,2023
Yusuf Adam Abdulla,,,Left hand Bat,Left arm Fast medium,13260, ,,Player_250,West Indies,28-12-2009,12261,346,15.65,83.7,7,77,317,2.69,44.41,4987,324,27.36,107.77,32,89,725,6.55,29.68,2556,182,44.62,139.54,47,91,185,3.65,29.62,19804,1227,148,23,ODI,2021
Tillakaratne Mudiyanselage Dilshan,,,Right hand Bat,Right arm Offbreak,12650,Wicketkeeper,,Player_251,Pakistan,08-07-2017,4876,292,14.36,149.95,7,65,143,6.31,22.69,6597,388,44.05,85.78,12,32,467,5.06,21.21,10331,132,55.57,126.07,3,17,325,5.82,19.99,21804,935,193,49,T20I,2013
Morne Nico van Wyk,,,Right hand Bat,Slow Left arm Orthodox,13551,Wicketkeeper,,Player_252,Ireland,20-08-2017,7287,67,45.95,90.58,5,28,383,9.31,23.11,14691,104,28.64,77.55,22,25,268,9.48,39.56,6098,379,35.08,54.82,28,87,182,5.45,46.72,28076,833,167,23,T20I,2014
Shoaib Shabbir Shaikh,,,Right hand Bat,Right arm Medium,14206, ,,Player_253,India,17-04-1997,892,49,31.01,72.05,13,14,215,5.1,43.28,4311,146,17.28,130.72,37,89,19,5.46,18.25,5280,287,28.09,87.16,37,31,396,7.13,19.21,10483,630,311,18,"T20I,Test",2022
Alfonso Clive Thomas,,,Right hand Bat,Right arm Fast medium,15878, ,,Player_254,West Indies,18-03-2018,10222,151,55.27,126.25,31,11,360,8.64,37.72,10794,278,30.31,86.7,31,99,577,6.31,33.21,4244,261,18.54,77.3,46,44,480,9.56,48.49,25260,1417,373,38,T20I,2013
Paul David Collingwood,,,Right hand Bat,Right arm Medium,15003, ,,Player_255,Pakistan,17-09-1997,11352,18,46.98,104.25,34,27,323,3.07,19.44,2934,8,15.63,81.7,44,39,502,5.57,24.17,2164,349,53.34,88.61,27,32,402,2.9,39.27,16450,1227,178,24,"ODI,Test,T20I",2003
Aditya Pradip Dole,,,Right hand Bat,Right arm Medium fast,15239, ,,Player_256,New Zealand,26-07-2017,10568,99,19.56,64.96,9,83,14,9.48,37.92,22,117,38.84,135,49,64,146,6.52,38.08,6601,281,29.71,66.01,21,73,462,5.61,48.13,17191,622,147,30,Test,2017
Jaskaran Singh Buttar,,,Right hand Bat,Right arm Medium,14216, ,,Player_257,West Indies,21-07-2005,4675,59,40.69,88.07,2,23,216,8.01,27.89,10394,93,12.05,134.63,34,58,428,5.76,49.34,10804,292,56.24,59.77,7,72,416,3.54,24.39,25873,1060,464,37,"T20I,Test",2000
Halhadar Das,,,Right hand Bat, ,12850,Wicketkeeper,,Player_258,Pakistan,21-05-2007,1933,166,31.78,91.45,11,20,491,9.53,29.8,1209,143,36.37,85.64,0,14,164,2.38,32.86,14380,268,52.39,102.1,31,48,201,9.15,19.3,17522,856,463,24,"T20I,ODI,Test",2011
Ankeet Anil Chavan,,,Left hand Bat,Slow Left arm Orthodox,33972, ,,Player_259,England,29-05-2004,1380,201,38.86,125.38,48,9,546,7.41,42.63,10488,288,54.32,133.25,46,0,309,9.06,44.16,14088,348,28.83,122.04,32,32,64,9.72,33.62,25956,919,56,26,"T20I,Test",2021
Abhimanyu Mithun,,,Right hand Bat,Right arm Medium,13986, ,,Player_260,Bangladesh,12-08-1980,11873,344,46.9,52.07,30,77,182,4.91,43.95,8940,385,51.89,135.08,44,10,517,5.56,34.25,2021,196,38.7,120.19,12,96,554,5.83,32.42,22834,1253,489,31,ODI,2008
Vidyut Sivaramakrishnan,,,Left hand Bat,Slow Left arm Orthodox,12339, ,,Player_261,England,05-02-2015,1290,145,50.31,76.9,28,17,269,9.51,30.81,804,13,54.14,92.39,4,54,13,6.71,33.87,2821,24,11.36,95.09,26,70,732,2.83,28.61,4915,1014,4,10,"T20I,ODI,Test",2009
James Edward Charles Franklin,,,Left hand Bat,Left arm Medium,15851, ,,Player_262,Bangladesh,10-07-1991,1640,163,52.19,101.76,4,87,466,4.2,48.31,8325,256,56.1,56.65,12,1,131,3.11,47.77,5938,140,23.16,102.23,17,67,16,8.28,48.65,15903,613,13,4,ODI,2020
Arindam Nanigopal Ghosh,,,Right hand Bat,Right arm Medium,13508, ,,Player_263,Australia,15-03-1997,13239,241,22.7,76.88,24,13,611,4.66,31.01,4416,345,15.23,50.16,4,64,754,2.03,46.48,6132,222,45.51,101.63,17,27,796,7.58,44.32,23787,2161,279,43,"T20I,ODI,Test",2017
Rohan Ravindra Raje,,,Right hand Bat,Right arm Fast medium,12422, ,,Player_264,Australia,04-03-2015,7490,68,11.56,112.84,40,33,518,7.61,42.7,10629,185,16.44,102.33,31,94,438,3.96,43.15,10473,19,43.9,119.16,12,86,182,4.84,39.17,28592,1138,498,32,"Test,ODI,T20I",2016
Sourav Subrata Sarkar,,,Right hand Bat,Right arm Medium,14008, ,,Player_265,Australia,10-08-1985,10874,174,46.96,98.19,30,57,541,8.12,33.48,8625,344,37.85,84.41,20,43,742,7.64,27.48,13686,246,27.67,54.79,21,52,390,9.1,23.21,33185,1673,323,18,"T20I,Test,ODI",2018
Ryan Neil ten Doeschate,,,Right hand Bat,Right arm Medium fast,15896, ,,Player_266,New Zealand,24-01-1997,9179,48,15.32,86.17,20,75,466,9.44,46.72,5141,399,54.7,149.71,23,15,739,2.79,35.44,9762,327,50.43,120.99,13,95,43,9.81,41.5,24082,1248,435,42,"T20I,Test",2003
